id,parent_id,type,order,title,detail,icon,link,active,title_size,detail_size,note
100,,config,,banner,,,,TRUE,,,ขนาดรูปแนะนำ 1920x480px (อัตราส่วน 4:1) ไฟล์ .webp หรือ .jpg ไม่เกิน 300KB ใส่ลิงก์รูปโดยตรงในคอลัมน์ link
200,,news,1,ยินดีต้อนรับสู่เว็บไซต์องค์กรของเรา,,,,TRUE,,,ข่าวประชาสัมพันธ์ ใส่ข้อความในคอลัมน์ title ใส่ลิงก์ในคอลัมน์ link (ถ้ามี) แถบจะสลับข้อความอัตโนมัติ
201,,news,2,เปิดรับสมัครงานหลายตำแหน่ง คลิกเพื่อดูรายละเอียด,,,https://example.com,TRUE,,,
202,,news,3,ประกาศวันหยุดประจำเดือน,,,,TRUE,,,
101,,config,,footer,ชื่อองค์กรของคุณ,,,TRUE,,,ฟุตเตอร์: ใส่ชื่อองค์กรในคอลัมน์ detail และลิงก์เว็บในคอลัมน์ link (ถ้ามี) ปี © เติมอัตโนมัติ
1,,menu,1,เกี่ยวกับเรา,,🏠,,TRUE,,,ตั้งคอลัมน์ icon เป็น Plain text กัน 01 กลายเป็น 1 / คอลัมน์ icon ใส่ลิงก์รูปได้ด้วย
2,1,submenu,1,ออกแบบเว็บไซต์,บริการออกแบบหน้าตาเว็บไซต์ที่ทันสมัย สวยงาม และดึงดูดผู้ใช้งานได้อย่างมีประสิทธิภาพ,01,,TRUE,,,
3,1,submenu,2,พัฒนาเว็บไซต์,พัฒนาระบบที่มีความเสถียรและปลอดภัย เพื่อรองรับการเติบโตของธุรกิจในอนาคต,02,,TRUE,,,
4,1,submenu,3,แพ็กเกจซอฟต์แวร์,นำเสนอซอฟต์แวร์สำเร็จรูปที่ปรับแต่งได้ ช่วยลดเวลาและต้นทุนในการบริหารจัดการ,03,,TRUE,,,
5,1,submenu,4,การบริหารองค์กร,ให้คำปรึกษาและวางระบบการทำงานภายในองค์กรให้เป็นไปอย่างราบรื่นและเป็นระบบ,04,,TRUE,,,
6,,menu,2,บริการ,,📦,,TRUE,,,
7,6,submenu,1,หมวดหมู่บริการของเรา,เนื้อหาในส่วนนี้จะถูกแสดงผลอย่างนุ่มนวล พร้อมความรู้สึกพรีเมียมด้วยเอฟเฟกต์การสลับแท็บแบบเฟด,,,TRUE,,,
8,,menu,3,โซลูชัน,,💡,,TRUE,,,
9,8,submenu,1,โซลูชันตัวอย่าง,แก้ไขข้อความนี้ในชีตเพื่อใส่รายละเอียดโซลูชันของคุณ,,,TRUE,,,
10,,menu,4,สนับสนุน,,🛟,,TRUE,,,
11,10,submenu,1,ศูนย์ช่วยเหลือ,แก้ไขข้อความนี้ในชีตเพื่อใส่ข้อมูลการสนับสนุน,,,TRUE,,,
12,,menu,5,ติดต่อเรา,,✉️,,TRUE,,,
13,12,submenu,1,ช่องทางติดต่อ,อีเมล / โทรศัพท์ / ที่อยู่ — แก้ไขในชีตได้เลย,,,TRUE,,,
